date,puzzle_number,solution,word_length,year,month,day,day_of_week,day_of_year,week_of_year,quarter,is_weekend,unique_letters,repeated_letters,has_duplicates,vowel_count,consonant_count,pos_1_letter,pos_2_letter,pos_3_letter,pos_4_letter,pos_5_letter,starts_with_vowel,ends_with_vowel,contains_common_pairs,contains_rare_letters,has_double_letters,double_letters,pos_6_letter,pos_7_letter
2022-01-01,196,REBUS,5,2022,1,1,5,1,52,1,True,5,0,False,2,3,R,E,B,U,S,False,False,True,False,False,,,
2022-01-02,197,BOOST,5,2022,1,2,6,2,52,1,True,4,1,True,2,3,B,O,O,S,T,False,False,True,False,True,O,,
2022-01-03,198,TRUSS,5,2022,1,3,0,3,1,1,False,4,1,True,1,4,T,R,U,S,S,False,False,False,False,True,S,,
2022-01-04,199,SIEGE,5,2022,1,4,1,4,1,1,False,4,1,True,3,2,S,I,E,G,E,False,True,False,False,False,,,
2022-01-05,200,TIGER,5,2022,1,5,2,5,1,1,False,5,0,False,2,3,T,I,G,E,R,False,False,True,False,False,,,
2022-01-06,201,BANAL,5,2022,1,6,3,6,1,1,False,4,1,True,2,3,B,A,N,A,L,False,False,True,False,False,,,
2022-01-07,202,SLUMP,5,2022,1,7,4,7,1,1,False,5,0,False,1,4,S,L,U,M,P,False,False,False,False,False,,,
2022-01-08,203,CRANK,5,2022,1,8,5,8,1,1,True,5,0,False,1,4,C,R,A,N,K,False,False,True,False,False,,,
2022-01-09,204,GORGE,5,2022,1,9,6,9,1,1,True,4,1,True,2,3,G,O,R,G,E,False,True,False,False,False,,,
2022-01-10,205,QUERY,5,2022,1,10,0,10,2,1,False,5,0,False,2,3,Q,U,E,R,Y,False,False,True,True,False,,,
2022-01-11,206,DRINK,5,2022,1,11,1,11,2,1,False,5,0,False,1,4,D,R,I,N,K,False,False,True,False,False,,,
2022-01-12,207,FAVOR,5,2022,1,12,2,12,2,1,False,5,0,False,2,3,F,A,V,O,R,False,False,False,False,False,,,
2022-01-13,208,ABBEY,5,2022,1,13,3,13,2,1,False,4,1,True,2,3,A,B,B,E,Y,True,False,False,False,True,B,,
2022-01-14,209,TANGY,5,2022,1,14,4,14,2,1,False,5,0,False,1,4,T,A,N,G,Y,False,False,True,False,False,,,
2022-01-15,210,PANIC,5,2022,1,15,5,15,2,1,True,5,0,False,2,3,P,A,N,I,C,False,False,True,False,False,,,
2022-01-16,211,SOLAR,5,2022,1,16,6,16,2,1,True,5,0,False,2,3,S,O,L,A,R,False,False,False,False,False,,,
2022-01-17,212,MINER,5,2022,1,17,0,17,3,1,False,5,0,False,2,3,M,I,N,E,R,False,False,True,False,False,,,
2022-01-18,213,PROXY,5,2022,1,18,1,18,3,1,False,5,0,False,1,4,P,R,O,X,Y,False,False,False,True,False,,,
2022-01-19,214,POINT,5,2022,1,19,2,19,3,1,False,5,0,False,2,3,P,O,I,N,T,False,False,True,False,False,,,
2022-01-20,215,ROBOT,5,2022,1,20,3,20,3,1,False,4,1,True,2,3,R,O,B,O,T,False,False,False,False,False,,,
2022-01-21,216,PRICK,5,2022,1,21,4,21,3,1,False,5,0,False,1,4,P,R,I,C,K,False,False,False,False,False,,,
2022-01-22,217,WINCE,5,2022,1,22,5,22,3,1,True,5,0,False,2,3,W,I,N,C,E,False,True,True,False,False,,,
2022-01-23,218,CRIMP,5,2022,1,23,6,23,3,1,True,5,0,False,1,4,C,R,I,M,P,False,False,False,False,False,,,
2022-01-24,219,KNOLL,5,2022,1,24,0,24,4,1,False,4,1,True,1,4,K,N,O,L,L,False,False,False,False,True,L,,
2022-01-25,220,SUGAR,5,2022,1,25,1,25,4,1,False,5,0,False,2,3,S,U,G,A,R,False,False,False,False,False,,,
2022-01-26,221,WHACK,5,2022,1,26,2,26,4,1,False,5,0,False,1,4,W,H,A,C,K,False,False,False,False,False,,,
2022-01-27,222,MOUNT,5,2022,1,27,3,27,4,1,False,5,0,False,2,3,M,O,U,N,T,False,False,True,False,False,,,
2022-01-28,223,PERKY,5,2022,1,28,4,28,4,1,False,5,0,False,1,4,P,E,R,K,Y,False,False,True,False,False,,,
2022-01-29,224,REBEL,5,2022,1,29,5,29,4,1,True,4,1,True,2,3,R,E,B,E,L,False,False,True,False,False,,,
2022-01-30,225,WRUNG,5,2022,1,30,6,30,4,1,True,5,0,False,1,4,W,R,U,N,G,False,False,False,False,False,,,
2022-01-31,226,LIGHT,5,2022,1,31,0,31,5,1,False,5,0,False,1,4,L,I,G,H,T,False,False,False,False,False,,,
2022-02-01,227,THOSE,5,2022,2,1,1,32,5,1,False,5,0,False,2,3,T,H,O,S,E,False,True,True,False,False,,,
2022-02-02,228,MOIST,5,2022,2,2,2,33,5,1,False,5,0,False,2,3,M,O,I,S,T,False,False,True,False,False,,,
2022-02-03,229,SHARD,5,2022,2,3,3,34,5,1,False,5,0,False,1,4,S,H,A,R,D,False,False,False,False,False,,,
2022-02-04,230,PLEAT,5,2022,2,4,4,35,5,1,False,5,0,False,2,3,P,L,E,A,T,False,False,True,False,False,,,
2022-02-05,231,ALOFT,5,2022,2,5,5,36,5,1,True,5,0,False,2,3,A,L,O,F,T,True,False,False,False,False,,,
2022-02-06,232,SKILL,5,2022,2,6,6,37,5,1,True,4,1,True,1,4,S,K,I,L,L,False,False,False,False,True,L,,
2022-02-07,233,ELDER,5,2022,2,7,0,38,6,1,False,4,1,True,2,3,E,L,D,E,R,True,False,True,False,False,,,
2022-02-08,234,FRAME,5,2022,2,8,1,39,6,1,False,5,0,False,2,3,F,R,A,M,E,False,True,False,False,False,,,
2022-02-09,235,HUMOR,5,2022,2,9,2,40,6,1,False,5,0,False,2,3,H,U,M,O,R,False,False,False,False,False,,,
2022-02-10,236,PAUSE,5,2022,2,10,3,41,6,1,False,5,0,False,3,2,P,A,U,S,E,False,True,False,False,False,,,
2022-02-11,237,ULCER,5,2022,2,11,4,42,6,1,False,5,0,False,2,3,U,L,C,E,R,True,False,True,False,False,,,
2022-02-12,238,ULTRA,5,2022,2,12,5,43,6,1,True,5,0,False,2,3,U,L,T,R,A,True,True,False,False,False,,,
2022-02-13,239,ROBIN,5,2022,2,13,6,44,6,1,True,5,0,False,2,3,R,O,B,I,N,False,False,True,False,False,,,
2022-02-14,240,CYNIC,5,2022,2,14,0,45,7,1,False,4,1,True,1,4,C,Y,N,I,C,False,False,False,False,False,,,
2022-02-15,241,AROMA,5,2022,2,15,1,46,7,1,False,4,1,True,3,2,A,R,O,M,A,True,True,False,False,False,,,
2022-02-16,242,CAULK,5,2022,2,16,2,47,7,1,False,5,0,False,2,3,C,A,U,L,K,False,False,False,False,False,,,
2022-02-17,243,SHAKE,5,2022,2,17,3,48,7,1,False,5,0,False,2,3,S,H,A,K,E,False,True,False,False,False,,,
2022-02-18,244,DODGE,5,2022,2,18,4,49,7,1,False,4,1,True,2,3,D,O,D,G,E,False,True,False,False,False,,,
2022-02-19,245,SWILL,5,2022,2,19,5,50,7,1,True,4,1,True,1,4,S,W,I,L,L,False,False,False,False,True,L,,
2022-02-20,246,TACIT,5,2022,2,20,6,51,7,1,True,4,1,True,2,3,T,A,C,I,T,False,False,False,False,False,,,
2022-02-21,247,OTHER,5,2022,2,21,0,52,8,1,False,5,0,False,2,3,O,T,H,E,R,True,False,True,False,False,,,
2022-02-22,248,THORN,5,2022,2,22,1,53,8,1,False,5,0,False,1,4,T,H,O,R,N,False,False,True,False,False,,,
2022-02-23,249,TROVE,5,2022,2,23,2,54,8,1,False,5,0,False,2,3,T,R,O,V,E,False,True,False,False,False,,,
2022-02-24,250,BLOKE,5,2022,2,24,3,55,8,1,False,5,0,False,2,3,B,L,O,K,E,False,True,False,False,False,,,
2022-02-25,251,VIVID,5,2022,2,25,4,56,8,1,False,3,2,True,2,3,V,I,V,I,D,False,False,False,False,False,,,
2022-02-26,252,SPILL,5,2022,2,26,5,57,8,1,True,4,1,True,1,4,S,P,I,L,L,False,False,False,False,True,L,,
2022-02-27,253,CHANT,5,2022,2,27,6,58,8,1,True,5,0,False,1,4,C,H,A,N,T,False,False,True,False,False,,,
2022-02-28,254,CHOKE,5,2022,2,28,0,59,9,1,False,5,0,False,2,3,C,H,O,K,E,False,True,False,False,False,,,
2022-03-01,255,RUPEE,5,2022,3,1,1,60,9,1,False,4,1,True,3,2,R,U,P,E,E,False,True,False,False,True,E,,
2022-03-02,256,NASTY,5,2022,3,2,2,61,9,1,False,5,0,False,1,4,N,A,S,T,Y,False,False,True,False,False,,,
2022-03-03,257,MOURN,5,2022,3,3,3,62,9,1,False,5,0,False,2,3,M,O,U,R,N,False,False,True,False,False,,,
2022-03-04,258,AHEAD,5,2022,3,4,4,63,9,1,False,4,1,True,3,2,A,H,E,A,D,True,False,True,False,False,,,
2022-03-05,259,BRINE,5,2022,3,5,5,64,9,1,True,5,0,False,2,3,B,R,I,N,E,False,True,True,False,False,,,
2022-03-06,260,CLOTH,5,2022,3,6,6,65,9,1,True,5,0,False,1,4,C,L,O,T,H,False,False,True,False,False,,,
